IDpol,ClaimNb,Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region
1,1,0.1,D,5,0,55,50,B12,Regular,1217,R82
3,1,0.77,D,5,0,55,50,B12,Regular,1217,R82
5,1,0.75,B,6,2,52,50,B12,Diesel,54,R22
10,1,0.09,B,7,0,46,50,B12,Diesel,76,R72
11,1,0.84,B,7,0,46,50,B12,Diesel,76,R72
13,1,0.52,E,6,2,38,50,B12,Regular,3003,R31
15,1,0.45,E,6,2,38,50,B12,Regular,3003,R31
17,1,0.27,C,7,0,33,68,B12,Diesel,137,R91
18,1,0.71,C,7,0,33,68,B12,Diesel,137,R91
21,1,0.15,B,7,0,41,50,B12,Diesel,60,R52
25,1,0.75,B,7,0,41,50,B12,Diesel,60,R52
27,1,0.87,C,7,0,56,50,B12,Diesel,173,R93
30,1,0.81,D,4,1,27,90,B12,Regular,695,R72
32,1,0.05,D,4,0,27,90,B12,Regular,695,R72
35,1,0.76,E,4,9,23,100,B6,Regular,7887,R31
36,1,0.34,F,9,0,44,76,B12,Regular,27000,R11
38,1,0.1,A,6,2,32,56,B12,Diesel,23,R24
42,1,0.77,A,6,2,32,56,B12,Diesel,23,R24
44,1,0.74,A,6,2,55,50,B12,Regular,37,R94
45,1,0.1,A,6,2,55,50,B12,Regular,37,R94
47,1,0.03,A,6,2,55,50,B12,Regular,37,R94
49,2,0.81,E,7,0,73,50,B12,Regular,3317,R93
50,1,0.06,E,7,0,73,50,B12,Regular,3317,R93
52,1,0.1,B,6,8,27,76,B3,Diesel,85,R93
53,1,0.55,D,5,0,33,100,B12,Regular,1746,R11
54,1,0.19,D,5,0,33,100,B12,Regular,1746,R11
55,1,0.01,D,5,0,33,100,B12,Regular,1746,R11
58,1,0.03,C,5,0,59,50,B12,Regular,455,R91
59,1,0.79,C,5,0,59,50,B12,Regular,455,R91
60,2,0.04,C,5,0,59,50,B12,Regular,455,R91
62,1,0.87,D,5,0,54,50,B12,Regular,781,R31
65,1,0.87,D,15,0,44,71,B12,Diesel,1110,R94
67,1,0.8,D,5,0,69,52,B12,Regular,1376,R11
68,1,0.07,D,5,0,69,52,B12,Regular,1376,R11
72,1,0.39,D,4,0,23,85,B12,Regular,533,R93
73,1,0.47,D,4,0,23,85,B12,Regular,533,R93
77,1,0.69,A,6,0,60,51,B12,Diesel,12,R83
78,1,0.16,A,6,0,60,51,B12,Diesel,12,R83
80,1,0.12,E,9,0,43,50,B12,Regular,7752,R11
82,1,0.76,E,9,0,43,50,B12,Regular,7752,R11
84,1,0.81,E,8,0,50,54,B12,Regular,3545,R11
86,1,0.05,E,8,0,50,54,B12,Regular,3545,R11
88,1,0.16,E,10,8,30,80,B12,Regular,3661,R11
90,1,0.71,E,10,8,30,80,B12,Regular,3661,R11
92,1,0.41,B,4,0,30,80,B12,Regular,77,R93
94,1,0.46,B,4,0,30,80,B12,Regular,77,R93
96,1,0.07,C,5,0,52,50,B12,Regular,162,R93
97,1,0.82,C,5,0,52,50,B12,Regular,162,R93
100,1,0.87,C,5,0,73,50,B12,Regular,174,R31
102,2,0.75,C,5,0,33,66,B12,Regular,151,R82
104,1,0.11,C,5,0,33,66,B12,Regular,151,R82
107,1,0.08,C,9,0,45,50,B12,Regular,120,R83
108,1,0.02,C,9,0,45,50,B12,Regular,120,R83
109,1,0.77,C,9,0,45,50,B12,Regular,120,R83
112,1,0.1,E,9,4,40,72,B12,Regular,3366,R11
113,1,0.84,E,9,4,40,72,B12,Regular,3366,R11
115,1,0.72,D,5,0,45,50,B12,Regular,965,R54
117,1,0.14,D,5,0,45,50,B12,Regular,965,R54
120,1,0.79,C,6,0,37,55,B12,Diesel,303,R11
121,1,0.05,C,6,0,37,55,B12,Diesel,303,R11
122,1,0.07,C,6,0,37,55,B12,Diesel,303,R11
124,1,0.5,B,5,1,28,68,B3,Diesel,85,R26
127,1,0.02,B,7,1,28,72,B12,Regular,85,R26
129,1,0.34,B,7,1,28,68,B12,Regular,85,R26
133,1,0.87,B,4,0,67,50,B12,Regular,87,R22
137,1,0.92,E,4,0,62,50,B12,Regular,8549,R82
139,1,0.75,F,7,1,61,50,B12,Regular,27000,R11
142,1,0.9,C,10,10,42,50,B12,Diesel,116,R93
145,1,0.81,A,6,0,62,90,B12,Regular,49,R53
147,1,0.05,A,6,0,62,90,B12,Regular,49,R53
148,1,0.12,C,5,0,55,50,B12,Regular,480,R22
149,1,0.06,C,5,0,55,50,B12,Regular,480,R22
150,1,0.11,C,15,0,51,50,B12,Diesel,480,R22
151,2,0.04,C,15,0,55,50,B12,Diesel,480,R22
153,1,0.74,C,7,0,59,50,B12,Regular,364,R73
155,1,0.12,C,7,0,59,50,B12,Regular,364,R73
158,1,0.07,D,7,0,51,50,B12,Regular,721,R93
159,1,0.79,D,7,0,51,50,B12,Regular,721,R93
161,1,0.81,E,5,0,53,50,B12,Regular,3430,R93
163,1,0.05,E,5,0,53,50,B12,Regular,3430,R93
166,1,0.09,E,4,0,55,50,B12,Regular,2715,R93
167,1,0.77,E,4,0,55,50,B12,Regular,2715,R93
170,1,0.87,F,10,0,31,72,B12,Diesel,27000,R11
173,1,0.87,D,5,0,65,50,B12,Regular,645,R91
175,1,0.78,B,6,1,47,53,B2,Regular,93,R91
178,1,0.04,B,6,1,47,53,B2,Regular,93,R91
179,1,0.03,B,6,1,47,53,B2,Regular,93,R91
181,1,0.69,E,5,8,46,52,B5,Regular,3023,R11
183,1,0.12,E,5,8,46,52,B5,Regular,3023,R11
184,1,0.04,E,5,8,46,52,B5,Regular,3023,R11
186,1,0.83,C,5,0,75,50,B12,Regular,215,R42
188,1,0.03,C,5,0,75,50,B12,Regular,215,R42
189,1,0.55,B,12,5,50,60,B12,Diesel,56,R25
190,1,0.14,B,12,5,50,60,B12,Diesel,56,R25
193,1,0.77,A,7,4,39,50,B10,Diesel,30,R72
194,1,0.09,A,7,4,39,50,B10,Diesel,30,R72
195,1,0.14,E,10,0,67,95,B12,Diesel,5460,R11
196,1,0.67,D,5,0,22,90,B12,Regular,1324,R11
197,1,0.13,E,4,0,39,100,B12,Regular,6736,R11
6113931,0,0.03,E,4,0,69,50,B12,Regular,3214,R83
6113932,0,0.14,F,11,0,56,80,B12,Diesel,17140,R11
6113933,0,0.14,E,4,0,62,50,B12,Regular,3317,R93
6113934,0,0.05,D,4,0,57,50,B12,Regular,752,R11
6113935,0,0.08,D,4,0,57,50,B12,Regular,752,R11
6113936,0,0.13,E,4,0,56,50,B12,Regular,5433,R93
6113937,0,0.14,D,13,0,36,50,B12,Regular,1287,R72
6113938,0,0.08,E,4,4,23,80,B2,Diesel,8549,R82
6113939,0,0.05,E,4,4,23,80,B2,Diesel,8549,R82
6113940,0,0.14,E,13,10,35,100,B12,Regular,3098,R31
6113941,0,0.1,B,4,0,81,100,B12,Regular,96,R54
6113942,0,0.03,B,4,0,81,100,B12,Regular,96,R54
6113943,0,0.03,D,10,0,42,90,B12,Diesel,793,R11
6113944,0,0.02,D,10,0,42,90,B12,Diesel,793,R11
6113945,0,0.07,D,10,0,42,90,B12,Diesel,793,R11
6113946,0,0.14,E,4,1,39,100,B12,Diesel,3963,R91
6113947,0,0.14,E,7,5,31,57,B12,Diesel,8023,R11
6113948,0,0.14,E,11,1,76,50,B12,Regular,3430,R93
6113949,0,0.13,A,4,0,38,80,B12,Regular,14,R72
